name,phone,email,city,category,tags
"Restaurante La Abundancia","+529531234567","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Cafe El Parian","+529531234568","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Taqueria El Güero","+529531234569","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Carnitas Don Pepe","+529531234570","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Comedor Mary","+529531234571","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Panaderia La Espiga","+529531234572","",Tlaxiaco,panaderia,"posible-cliente,tlaxiaco"
"Tortilleria El Maiz","+529531234573","",Tlaxiaco,tortilleria,"posible-cliente,tlaxiaco"
"Carniceria San Antonio","+529531234574","",Tlaxiaco,carniceria,"posible-cliente,tlaxiaco"
"Abarrotes La Esquina","+529531234575","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Minisuper Don Jose","+529531234576","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Farmacia Cruz Verde","+529531234577","",Tlaxiaco,farmacia,"posible-cliente,tlaxiaco"
"Farmacia Guadalajara","+529531234578","",Tlaxiaco,farmacia,"posible-cliente,tlaxiaco"
"Consultorio Dr. Hernandez","+529531234579","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Dentista Dra. Lopez","+529531234580","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Clinica Popular Tlaxiaco","+529531234581","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Estetica Bella Vista","+529531234582","",Tlaxiaco,belleza,"posible-cliente,tlaxiaco"
"Salon de Belleza Glamour","+529531234583","",Tlaxiaco,belleza,"posible-cliente,tlaxiaco"
"Peluqueria El Corte","+529531234584","",Tlaxiaco,belleza,"posible-cliente,tlaxiaco"
"Auto Lavado Express","+529531234585","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Taller Mecanico Don Pedro","+529531234586","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Llanteria Tlaxiaco","+529531234587","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
" Papeleria El Estudiante","+529531234588","",Tlaxiaco,papeleria,"posible-cliente,tlaxiaco"
"Libreria San Juan","+529531234589","",Tlaxiaco,papeleria,"posible-cliente,tlaxiaco"
"Ferreteria La Regional","+529531234590","",Tlaxiaco,ferreteria,"posible-cliente,tlaxiaco"
"Material Electrico Tlaxiaco","+529531234591","",Tlaxiaco,ferreteria,"posible-cliente,tlaxiaco"
"Floristeria Primavera","+529531234592","",Tlaxiaco,floristeria,"posible-cliente,tlaxiaco"
"Pizzeria Italiana","+529531234593","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Heladeria Artesanal","+529531234594","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Cafe Aroma","+529531234595","",Tlaxiaco,cafe,"posible-cliente,tlaxiaco"
